Internet traffic data (in bits) from a private ISP with centres in 11 European cities. The data corresponds to a transatlantic link and was collected from 06:57 hours on 7 June to 11:17 hours on 31 July 2005. Daily data.;;
Exported from datamarket.com;;
Date exported;2016-12-10 21:22;
View online;https://datamarket.com/data/set/232i/internet-traffic-data-in-bits-from-a-private-isp-with-centres-in-11-european-cities-the-data-corresponds-to-a-transatlantic-link-and-was-collected-from-0657-hours-on-7-june-to-1117-hours-on-31-july-2005-daily-data#!ds=232i&display=line;
License;"Unknown; please assume a restricted license (all rights reserved); contact DataMarket if you need different licensing";
Provider;Time Series Data Library;
Source URL;;
Units;;
;;
;;
Units;Bits;
;;
;;
;Internet traffic data (in bits) from a private ISP with centres in 11 European cities. The data corresponds to a transatlantic link and was collected from 06:57 hours on 7 June to 11:17 hours on 31 July 2005. Daily data.;
Date;Traffic;
2005-06-07;1,29138E+12;
2005-06-08;1,32425E+12;
2005-06-09;1,29752E+12;
2005-06-10;1,1268E+12;
2005-06-11;6,80506E+11;
2005-06-12;8,8166E+11;
2005-06-13;1,26798E+12;
2005-06-14;1,11926E+12;
2005-06-15;1,335E+12;
2005-06-16;1,28324E+12;
2005-06-17;9,71786E+11;
2005-06-18;6,60502E+11;
2005-06-19;9,83704E+11;
2005-06-20;1,2917E+12;
2005-06-21;1,2851E+12;
2005-06-22;1,28178E+12;
2005-06-23;1,23335E+12;
2005-06-24;7,91724E+11;
2005-06-25;6,62439E+11;
2005-06-26;1,13675E+12;
2005-06-27;1,30346E+12;
2005-06-28;1,28965E+12;
2005-06-29;1,26736E+12;
2005-06-30;1,28886E+12;
2005-07-01;7,58251E+11;
2005-07-02;6,68668E+11;
2005-07-03;1,31852E+12;
2005-07-04;1,32839E+12;
2005-07-05;1,32928E+12;
2005-07-06;1,33709E+12;
2005-07-07;1,26626E+12;
2005-07-08;6,83004E+11;
2005-07-09;6,6807E+11;
2005-07-10;1,33182E+12;
2005-07-11;1,34719E+12;
2005-07-12;1,26477E+12;
2005-07-13;1,05805E+12;
2005-07-14;1,12921E+12;
2005-07-15;6,8881E+11;
2005-07-16;6,71074E+11;
2005-07-17;1,31589E+12;
2005-07-18;1,32408E+12;
2005-07-19;1,29489E+12;
2005-07-20;9,894E+11;
2005-07-21;1,13035E+12;
2005-07-22;6,20535E+11;
2005-07-23;6,5092E+11;
2005-07-24;1,20754E+12;
2005-07-25;1,21618E+12;
2005-07-26;1,15932E+12;
2005-07-27;1,134E+12;
